"LONG BEACH DAUGHERTY AIRPORT, CA US (USW00023129)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1/1/1943,54,,,,,
1/2/1943,54,,,,,
1/3/1943,57,,,,,
1/4/1943,59,,,,,
1/5/1943,54,,,,,
1/6/1943,55,,,,,
1/7/1943,60,,,,,
1/8/1943,57,,,,,
1/9/1943,54,,,,,
1/10/1943,54,,,,,
1/11/1943,51,,,,,
1/12/1943,51,,,,,
1/13/1943,51,,,,,
1/14/1943,53,,,,,
1/15/1943,52,,,,,
1/16/1943,56,,,,,
1/17/1943,55,,,,,
1/18/1943,52,,,,,
1/19/1943,49,,,,,
1/20/1943,47,,,,,
1/21/1943,53,,,,,
1/22/1943,58,,,,,
1/23/1943,58,,,,,
1/24/1943,55,,,,,
1/25/1943,53,,,,,
1/26/1943,55,,,,,
1/27/1943,58,,,,,
1/28/1943,54,,,,,
1/29/1943,53,,,,,
1/30/1943,55,,,,,
1/31/1943,53,,,,,
2/1/1943,53,,,,,
2/2/1943,56,,,,,
2/3/1943,54,,,,,
2/4/1943,52,,,,,
2/5/1943,55,,,,,
2/6/1943,58,,,,,
2/7/1943,56,,,,,
2/8/1943,56,,,,,
2/9/1943,51,,,,,
2/10/1943,50,,,,,
2/11/1943,58,,,,,
2/12/1943,65,,,,,
2/13/1943,68,,,,,
2/14/1943,69,,,,,
2/15/1943,65,,,,,
2/16/1943,60,,,,,
2/17/1943,56,,,,,
2/18/1943,57,,,,,
2/19/1943,61,,,,,
2/20/1943,58,,,,,
2/21/1943,59,,,,,
2/22/1943,59,,,,,
2/23/1943,55,,,,,
2/24/1943,55,,,,,
2/25/1943,53,,,,,
2/26/1943,53,,,,,
2/27/1943,54,,,,,
2/28/1943,54,,,,,
3/1/1943,56,,,,,
3/2/1943,56,,,,,
3/3/1943,57,,,,,
3/4/1943,60,,,,,
3/5/1943,60,,,,,
3/6/1943,60,,,,,
3/7/1943,59,,,,,
3/8/1943,59,,,,,
3/9/1943,61,,,,,
3/10/1943,62,,,,,
3/11/1943,60,,,,,
3/12/1943,58,,,,,
3/13/1943,57,,,,,
3/14/1943,58,,,,,
3/15/1943,57,,,,,
3/16/1943,55,,,,,
3/17/1943,56,,,,,
3/18/1943,57,,,,,
3/19/1943,55,,,,,
3/20/1943,55,,,,,
3/21/1943,57,,,,,
3/22/1943,57,,,,,
3/23/1943,56,,,,,
3/24/1943,59,,,,,
3/25/1943,58,,,,,
3/26/1943,58,,,,,
3/27/1943,57,,,,,
3/28/1943,58,,,,,
3/29/1943,59,,,,,
